Time,How many people
6:00:00 AM,11
6:30:00 AM,42
7:00:00 AM,95
7:30:00 AM,105
8:00:00 AM,179
8:30:00 AM,273
9:00:00 AM,315
9:30:00 AM,326
10:00:00 AM,336
10:30:00 AM,336
11:00:00 AM,347
11:30:00 AM,347
12:00:00 PM,252
12:30:00 PM,284
1:00:00 PM,284
1:30:00 PM,284
2:00:00 PM,305
2:30:00 PM,294
3:00:00 PM,273
3:30:00 PM,263
4:00:00 PM,221
4:30:00 PM,189
5:00:00 PM,147
5:30:00 PM,116
6:00:00 PM,84
6:30:00 PM,74
7:00:00 PM,74
7:30:00 PM,63
8:00:00 PM,53
8:30:00 PM,42
9:00:00 PM,32
9:30:00 PM,21
10:00:00 PM,0